site,mean_wind,lat,long
2145,7.792614256501549,19.052612,-67.408936
2146,7.785755942999813,19.07956,-67.40927
2147,7.778514253356514,19.106483,-67.40961
2148,7.770188121524896,19.13343,-67.40997
2149,7.760314682,19.160393,-67.41031
2150,7.750051048944326,19.187325,-67.410645
2151,7.738542223862268,19.214264,-67.41101
2152,7.727890861276899,19.241226,-67.41135
2153,7.715809268226333,19.26815,-67.41168
2154,7.7042954455381345,19.29509,-67.41205
2155,7.691073734,19.32203,-67.412384
2156,7.6795203545414354,19.348976,-67.41272
2157,7.665439388019157,19.375908,-67.413086
2158,7.654171495937986,19.402855,-67.41342
2159,7.637095942303216,19.42978,-67.41379
2160,7.624562588839337,19.456726,-67.41412
2161,7.603238743,19.483658,-67.41449
2162,7.583167657766623,19.51059,-67.414825
2163,7.559889881990185,19.537514,-67.41516
2164,7.5417054047000835,19.56446,-67.41553
2165,7.529985463646495,19.591385,-67.41586
2166,8.533888098379338,16.544907,-67.349
2167,8.550481396072925,16.571915,-67.349304
2168,8.569437907301836,16.598885,-67.34967
2169,8.586213537559951,16.625862,-67.349976
2170,8.591750476478591,16.652863,-67.35034
2171,8.609086522675598,16.679832,-67.35065
2172,8.608480418,16.706802,-67.35098
2173,8.613965411452707,16.733788,-67.35132
2174,8.605959215242398,16.760757,-67.351654
2175,8.605830564769573,16.78775,-67.35199
2176,8.595029542518642,16.814735,-67.352325
2177,8.589923747086308,16.841713,-67.35266
2178,8.577741883163968,16.868683,-67.353
2179,8.569100638055573,16.895668,-67.35333
2180,8.555770964747008,16.922646,-67.35367
2181,8.545183095,16.949615,-67.354004
2182,8.531506651830629,16.9766,-67.35434
2183,8.520228916,17.003586,-67.354675
2184,8.507193508394767,17.030556,-67.35501
2185,8.494758142749678,17.057549,-67.35535
2186,8.481405334158794,17.084503,-67.35568
2187,8.468303557942557,17.111504,-67.35602
2188,8.454036048,17.138474,-67.35635
2189,8.439572957993345,17.165451,-67.35669
2190,8.425147615306646,17.192444,-67.357025
2191,8.410192316925317,17.219414,-67.35736
2192,8.395230105861303,17.246376,-67.3577
2193,8.379863080822023,17.273361,-67.35803
2194,8.363751889,17.300323,-67.35837
2195,8.345976402,17.327309,-67.3587
2196,8.328386970186525,17.354294,-67.35904
2197,8.308762721669591,17.381248,-67.359375
2198,8.289886557,17.408218,-67.35971
2199,8.268427094,17.435211,-67.36005
2200,8.246663313616043,17.462189,-67.36038
2201,8.222126727455876,17.489159,-67.36072
2202,8.197054686018449,17.516129,-67.36105
2203,8.170341868413733,17.543114,-67.36139
2204,8.141017665668038,17.570084,-67.361725
2205,8.109087412,17.597046,-67.36206
2206,8.070148453666786,17.624016,-67.36243
2207,8.028893910485326,17.650993,-67.36273
2208,7.976561818954208,17.67797,-67.3631
2209,7.922841714,17.70494,-67.3634
2210,7.853856587501333,17.731903,-67.36377
2211,7.784841103285028,17.758896,-67.364105
2212,7.697903918186621,17.785858,-67.36444
2213,7.606878073302603,17.812828,-67.36478
2214,7.504555702824106,17.839783,-67.36511
2215,7.3785952304313955,17.866768,-67.36545
2216,7.260122862344154,17.893738,-67.36578
2217,7.125094682579769,17.9207,-67.36612
2218,7.025064095483363,17.947662,-67.366455
2219,6.954864943161496,17.97464,-67.36679
2220,6.887526922549048,18.00161,-67.36713
2221,6.783994832720433,18.028557,-67.36749
2222,6.6863336595802965,18.055542,-67.3678
2223,6.5785489369681995,18.082512,-67.368164
2224,6.480295507957064,18.109467,-67.3685
2225,6.405511819733992,18.136436,-67.368835
2226,6.352709792763505,18.163391,-67.36917
2227,6.319953542763491,18.190346,-67.36951
2228,6.3047039822300075,18.217323,-67.36984
2229,6.296018457685088,18.244286,-67.37018
2230,6.279402763118463,18.27124,-67.370544
2231,6.359299006,18.298225,-67.37088
2232,6.538716468402479,18.325172,-67.371216
2233,6.771052599930011,18.352135,-67.37155
2234,6.921809105700683,18.379097,-67.37189
2235,7.024395647727059,18.40606,-67.37222
2236,7.123729188642535,18.433006,-67.37256
2237,7.265994589178858,18.459984,-67.372925
2238,7.37318183,18.48693,-67.37326
2239,7.462912717342017,18.5139,-67.3736
2240,7.496801091635552,18.540848,-67.37393
2241,7.5209683131845875,18.567802,-67.37427
2242,7.558259601,18.594757,-67.3746
2243,7.583641456732236,18.621727,-67.37494
2244,7.614984919160778,18.648682,-67.375305
2245,7.649817435616127,18.675621,-67.37564
2246,7.674809553,18.702576,-67.37598
2247,7.713441608419387,18.72953,-67.37631
2248,7.735902349552612,18.7565,-67.37665
2249,7.769110453665715,18.783447,-67.377014
2250,7.786174622406504,18.810387,-67.37735
2251,7.806820262,18.837364,-67.377686
2252,7.814095357608444,18.864311,-67.37802
2253,7.824478790502742,18.891235,-67.37836
2254,7.8260276523291505,18.91819,-67.37872
2255,7.828130703694832,18.945152,-67.37906
2256,7.824601224387843,18.972092,-67.379395
2257,7.820887284438373,18.999046,-67.37973
2258,7.8147204562336965,19.025986,-67.380066
2259,7.808326020145583,19.05294,-67.38043
2260,7.800913660825264,19.079895,-67.38077
2261,7.792509186,19.10682,-67.3811
2262,7.783223539777053,19.133766,-67.38144
2263,7.772624276081009,19.16072,-67.381775
2264,7.761790689433234,19.18766,-67.38214
2265,7.749582057352076,19.214592,-67.38248
2266,7.738231648,19.241547,-67.38281
2267,7.725576327,19.26847,-67.38315
2268,7.7138136703512306,19.295418,-67.383484
2269,7.700120611091857,19.322365,-67.38385
2270,7.688406258031344,19.349297,-67.384186
2271,7.673963982705663,19.376228,-67.38452
2272,7.662167154321629,19.403183,-67.38489
2273,7.644766339237053,19.430115,-67.38522
2274,7.631878861355919,19.457062,-67.38556
2275,7.610277519355944,19.483978,-67.385895
2276,7.590465745601162,19.510918,-67.38623
2277,7.566874331612145,19.53785,-67.3866
2278,7.548307145333746,19.564781,-67.38693
2279,7.536399649190895,19.59172,-67.38727
2280,8.538368456320546,16.545227,-67.32086
2281,8.555266400174412,16.57222,-67.32117
2282,8.574404499,16.599205,-67.3215
2283,8.591323427038356,16.626175,-67.32184
2284,8.597410804,16.653168,-67.32214
2285,8.614982105449567,16.680138,-67.32251
2286,8.614434123634897,16.70713,-67.322815
2287,8.620088559938766,16.734108,-67.32315
2288,8.612081145916502,16.761078,-67.32349
2289,8.611999722552325,16.78807,-67.32382
2290,8.601649856967992,16.815056,-67.32416
2291,8.596778109002123,16.842026,-67.32446
2292,8.58506459,16.86901,-67.3248
2293,8.576658108375735,16.89598,-67.325134
2294,8.563536477,16.922958,-67.32547
2295,8.553242332286361,16.949951,-67.325806
2296,8.539917076671642,16.976921,-67.32614
2297,8.529024286529644,17.003891,-67.32648
2298,8.516341718623917,17.030891,-67.32678
2299,8.504484421070085,17.057869,-67.32712
2300,8.491658596602567,17.084839,-67.32745
2301,8.478819108073685,17.111809,-67.32779
2302,8.464343059,17.138786,-67.328125
2303,8.450137505666149,17.165771,-67.32846
